question_id,question
Q04261,are you researching the early life bio of george bush sr.
Q04262,do you want to see a bio of george bush sr. focusing on his vice presidency
Q04263,are you looking for a bio of george bush sr. with an emphasis on his presidency
Q04264,were you wanting to see the raffles hotel
Q04265,did you want raffle basket ideas
Q04266,are you seeking raffle ticket templates
Q04267,are you interested in raffle tickets
Q04268,do you want to see the inside of a raffle building
Q04269,would you like to see a raffle hotel
Q04270,do you want to know how they perform
Q04271,do you want to know how they work
Q04272,do you want to know the best companies that offer this product
Q04273,are you interested in fixed rates
Q04274,do you want to know about pros and cons of an indexed annuity
Q04275,do you want to know how to calculate an indexed annuity
Q04276,would you like to see arkansas on the map
Q04277,do you want to see buildings in arkansas
Q04278,are you interested in arkansas's outdoor
Q04279,do you want to see a map
Q04280,do you want to see attractions
Q04281,do you want to see popular restaurants
Q04282,would you like to see images of moths in the wild
Q04283,would you like to see rare species of moth
Q04284,what color is the moth you are looking for
Q04285,would you like to see different types of moths
Q04286,would you like to see what moths start out as
Q04287,would you like to see a moth's lifecycle
Q04288,are you interested in following up an interview with a thank you note
Q04289,are you looking for interview thank you protocols
Q04290,are you interested in interview thank you ideas
Q04291,"do you want to see ""thank you"" e-mails"
Q04292,"are you interested in writing a ""thank you"" letter after a job interview"
Q04293,are you referring to a college interview
Q04294,are you looking for free filing for income tax return online
Q04295,are you interested in income tax return advice online
Q04296,are you looking for income tax return online for state filing
Q04297,would you like to know which companies offer online tax return filing
Q04298,are you wanting to find out about the cost of online tax filing
Q04299,are you interested to know which types of returns can be filed online
Q04300,do you want to see a kcs railmap
Q04301,are you interested in pictures of kcs trains
Q04302,do you want pictures of the inside of kcs trains
Q04303,"are you referring to ksc academy, education, technology, or some other ksc"
Q04304,would you like to see photos of the kcs freight engine
Q04305,do you want to know about the kanasas city southern line
Q04306,do you want to know the education requirements
Q04307,do you want to know how to become one
Q04308,do you want to know how long it takes to become one
Q04309,do you want to see paralegals
Q04310,are you interested in information on paralegal
Q04311,are you interested in becoming a paralegal
Q04312,do you want to see the cover of doctor zhivago
Q04313,would you like to see scenes from doctor zhivago
Q04314,are you interested in love scenes from doctor zhivago
Q04315,do you want to see the movie covers
Q04316,do you want to see the actors
Q04317,do you want to see the book covers
Q04318,would you be interested in golf lessons
Q04319,do you want to see golf swings
Q04320,would golf tips interest you
Q04321,would you like to see images of golf instructors
Q04322,would you like to see the attire of gold instructors
Q04323,would you like to have an indoor golf instructor
Q04324,are you interested in decisive battles in the civil war
Q04325,are you looking for the deadliest battles of the civil war
Q04326,are you looking for civil war battles in missouri
Q04327,do you want a comprehensive list of battles
Q04328,are you asking about the most important battles
Q04329,would you like to see a timeline of battles
Q04330,what kind of material do you want to use for the fence
Q04331,do you want a chainlink fence
Q04332,do you want a wooden fence
Q04333,what type of fence material do you want
Q04334,do you want to read a book about frank lloyd wright's life and career
Q04335,are you interested in frank lloyd wright's autobiography
Q04336,do you want a work that focuses on his buildings
Q04337,do you want to see photos of frank lloyd wright
Q04338,are you interested in books regarding frank lloyd wright
Q04339,do you want to see pictures of frank lloyd wright working
Q04340,are you interested in seeing more about martha stewart and imclone the business
Q04341,would you like to know about martha stewart and imclone stocks
Q04342,do you want to see images relating to the martha stewart and imclone criminal case
Q04343,would you like to know about martha stewards prison sentence for insider trading
Q04344,do you want to know martha stewards involvment with imclone
Q04345,would you like to see political cartoons about martha steward and imclone
Q04346,"do you want to know what ""michworks"" stands for"
Q04347,would you like to know about michigan works locations
Q04348,are you curious about who uses michigan works
Q04349,would you like to see the logo of michworks
Q04350,are you looking for contact information on michworks
Q04351,are you looks for resources on michworks
Q04352,"would you like to know about yo-yo, flexible, reverse, or some other form of dieting"
Q04353,would you like to know about healthy eating
Q04354,are you interested in dieting basics
Q04355,would you like to see meal prep ideas
Q04356,would you like to see excercises
Q04357,would you see foods not to eat on a diet
Q04358,are you interested in how to measure an f5 tornado
Q04359,are you interested in how fast an f5 tornado moves
Q04360,are you interested in f5 historical incidents
Q04361,would you like to see maps showing the locations f5 tornados
Q04362,are you interested in photos of f5 tornados
Q04363,would you to know about the damages caused by f5 tornados
Q04364,do you want to see pictures of common flowering plants
Q04365,do you want flowering plants landscaping ideas
Q04366,are you interested in seeing state flowers
Q04367,would you like to see examples of flowering plants
Q04368,would you like to see a flowering plant diagram
Q04369,would you like to see full sun hanging plants
Q04370,are you wanting to see images of hayrides in pa
Q04371,are you seeking other fall activities in pa
Q04372,would you also like to see the biggest hayride
Q04373,would you like to see hay rides in action
Q04374,would you like to see pumpkin patches
Q04375,would you like to see corn mazes
Q04376,would you like to see pictures of atypical sqamous cells
Q04377,would you like to see what atypical squamos cells look like on the body
Q04378,would like to see how atypical squamos cells are dianosed
Q04379,do you want to learn some of the reasons atypical squamous cells appear in a women's body
Q04380,"do you want to know what to do if you have received an abnormal pap smear result, with atypical squamous cells"
Q04381,would you like to see a photo of angular cheilitis
Q04382,would you like to see the caused of angular cheilitis
Q04383,how about the differences between angular cheilitis and a cold sore
Q04384,would you want to hear more about the symptoms of angular cheilitis
Q04385,are you interested in the causes of angular cheilitis
Q04386,do you want to know common treatments for angular cheilitis
Q04387,are you interested in seeing pictures of the ritz carlton lake
Q04388,are you interested in seeing the hotel room that are located by the ritz carlton lake in las vegas
Q04389,are you interested in seeing the ameneties offers at the ritz carlton lake las vegas
Q04390,are you interested in the price of the ritz carlton in las vegas
Q04391,are you interested in the amenities at the ritz carlton in las vegas
Q04392,are you interested in the history of the ritz carlton in las vegas
Q04393,are you looking for feliz navidad lyrics in spanish
Q04394,are you looking for lyrics to feliz navidad for karaoke
Q04395,are you interested in lyrics for feliz navidad for kpop
Q04396,are you wanting to see a printable version of feliz navidad lyrics
Q04397,did you want feliz navidad lyrics and accompaniment/chords/sheet music
Q04398,were you interested in other christmas songs as well
Q04399,would you like to see the college's surroundings
Q04400,would you like to see their sporting areas
Q04401,would you like to see logos
Q04402,do you need a map of the mitchell college campus
Q04403,do you want to know what mitchell college looks like inside
Q04404,would you like to find out where mitchell college is located
Q04405,would you like to see their officers
Q04406,would you like to see the district
Q04407,would you like to see their vehicles
Q04408,would you like to learn more about tn highway patrol
Q04409,would you like to learn of the different services from tn highway patrol
Q04410,would you like to interact with tn highway patrol on social media
Q04411,are you interested in booking the french lick resort and casino
Q04412,are you looking for amenities at the french lick resort and casino
Q04413,are you interested in attractions near the french lick resort casino
Q04414,do you want to see outside the building
Q04415,do you want to see inside the casino
Q04416,do you want to see what surrounds the area
Q04417,what type of chicken noodle soup are you looking for
Q04418,do you want to know the ingredients that go in chicken noodle soup.
Q04419,do you want to know the different utensils you need to make chicken noodle soup from scrtach
Q04420,would you like to see variations of chicken soup
Q04421,would you like to see common ingredients
Q04422,do you want to see side dishes
Q04423,are you looking for a place to stay in the republic of vanuatu
Q04424,are you interested in viewing the top sights in vanuatu
Q04425,are you looking for fun things to do in vanuatu
Q04426,are you interested in information about the people of vanuatu
Q04427,do you want to see pictures of vanuatu
Q04428,are you interested in what there is to do when visiting vanautu
Q04429,do you want to see a map of indigenous tribes in alabama
Q04430,would you like to see images of tribes in alabama
Q04431,which tribe are you interested in
Q04432,would you like to see a map
Q04433,would you like to see tribe members
Q04434,would you like to see images of the food they made
Q04435,would you be interested in fast growing shade vines
Q04436,are you wanting flowering perennial vines
Q04437,would you also be interested in fast growing shade trees
Q04438,are you looking for the best vines to use for shading
Q04439,would you like to also see the best flowers for shading
Q04440,do you want to see the best vines to use for zone 9
Q04441,would you like to know most known scooters for adults brands are
Q04442,are you interested to know what are the best scooters for kids
Q04443,would you like to know what are the scooters common problems
Q04444,are you wanting to see scooters for kids
Q04445,were you interested in scooters for adults
Q04446,did you want to know more about scooter safety
Q04447,are you wanting to see the different models of raspberry pi
Q04448,would you like to see projects created with a raspberry pi
Q04449,are you looking for recipes for a raspberry pie
Q04450,"are you referring to raspberry pi 2,3,4, or some other raspberry pi"
Q04451,are you interested in cases for raspberry pi
Q04452,would you like information on how to use raspberry pi
Q04453,which classification of von willebrand disease would you like to know about
Q04454,do you want to know how the disease is transfered geneically
Q04455,would you a detailed overview of the disease
Q04456,did you want to know about von willebrand disease in dog
Q04457,what kind of cell phones are you looking for
Q04458,do you want a picture of cell phones
Q04459,do you prefer a touch screen cell phone
Q04460,would you like to see inside the airport
Q04461,would you like to see outside the airport
Q04462,would you like to see a map of the airport
Q04463,"are you looking for the location of the onatario, ca airport"
Q04464,"are you looking for airlines that fly out of the ontario, ca airport"
Q04465,"are you looking for accomendations near the ontario, ca airport"
Q04466,are you interested in tom hanks portrayal of mr. rogers
Q04467,are you interested in seeing an interview with fred rogers
Q04468,do you want to know about fred rogers personal life
Q04469,would you like to see mister rogers' neighborhood books
Q04470,are you interested in viewing the mister rogers set
Q04471,are you wanting to see the puppets from mr. rogers' neighborhood
Q04472,are you interested in jax chemical company darkener
Q04473,are you looking for the history of the jax chemica company
Q04474,would you like to see images of the jax chemical company building
Q04475,would you like to know about metal finishing
Q04476,would you like a list of jax chemical company products
Q04477,do you wish to see the various versions of the afghanistan flag
Q04478,"would you like to know the meaning behind the black, green, and red afghanistan flag"
Q04479,are you interested in some of the different forms the afghanistan flag has been depicited in
Q04480,would you like to know how to lower your heart rate
Q04481,are you interested in how yoga can slow your heart rate
Q04482,do you want information on athlete's heart rates
Q04483,are you interested in lifestyle changes that can help lower your heart rate
Q04484,do you want a list of recommended exercises to lower your heart rate
Q04485,are you looking for medications that doctor's prescribe to lower heart rate
Q04486,are you looking for a map of where to find morel mushrooms
Q04487,are you interested in a guide of where to find morel mushrooms
Q04488,are you looking for safety tips for where to find morel mushrooms
Q04489,would you like to see what morel mushrooms look like
Q04490,would you like to see a map of growth
Q04491,would you like to see a dangerous morel look alike
Q04492,do you want to know how to obtain indian citizenship
Q04493,are you interested in the culture of india
Q04494,do you have any interest in how expensive living in india is
Q04495,do you want to see india's capital
Q04496,do you want to see indian street food
Q04497,do you want to see temples india
Q04498,do you want to see a map
Q04499,do you want to see sites
Q04500,do you want to see restaurants
Q04501,do you want to try out some fishing spots in dutchess county
Q04502,are you searching for areas in dutchess county to take great instagram photos
Q04503,did you intend to peruse a list of free things to do in dutchess county
Q04504,are you interested in tangible personal property tax by state
Q04505,are you looking for a tangible personal property tax calculator
Q04506,are you looking for personal tangible property tax return information
Q04507,are you referring to state or buisness personal tax
Q04508,would you like to know what tangible personal property tax is
Q04509,do you need a list of tangible property tax forms
Q04510,which picture most closely resembles your spider bite mark
Q04511,do you have any of the following symptoms
Q04512,are you sure your bite is not from another insect
Q04513,do you want to know what spider bites look like compared to other insect bites
Q04514,are you trying to find out which spiders bite
Q04515,do you want to know what a spider bite looks like
Q04516,do want to see universitys with the colors black and gold
Q04517,do you want to see black and gold pants
Q04518,do you want to see which countrys use balck and gold in thier flag
Q04519,did you need black and gold wall paper for interior decoration
Q04520,are you interested in black and gold furniture
Q04521,did you want to buy black and gold chandeliar
Q04522,are you looking for different ways to serve pork tenderloin
Q04523,would you like to see marinade sauces for pork tenderloins
Q04524,would you be interested in other pork dishes
Q04525,do you want a recipe
Q04526,do you want to see side dishes
Q04527,do you want to see sauces
Q04528,are you looking for old town scottsdale attractions
Q04529,are you interested in old town scottsdale lodging
Q04530,are you interested in the history of old town scottsdale
Q04531,do you want to see sites
Q04532,do you want to see the town at night
Q04533,do you want to see places to eat
Q04534,are you looking for tips on planting a norway spruce
Q04535,are you interested in how to care for a norway spruce
Q04536,are you looking for locations of norway spruces
Q04537,would you like to see examples of a norway spruce
Q04538,would you like to see a spruce tree
Q04539,do you want to see different spruce trees
Q04540,do you want to see a map
Q04541,do you want to see different hotels
Q04542,do you want to see attractions in new york
Q04543,do you want to know the new york hotels with the best views
Q04544,are you looking for five-star hotels in new york
Q04545,"are you interested in doctors who work at the mayo clinic in jacksonville, fl"
Q04546,"are you looking for services offered by the mayo clinic in jacksonville, fl"
Q04547,are you looking to be a patient of the mayo clinic in jacksonville
Q04548,are you interested in the buildings at the mayo clinic
Q04549,would you like to see an infographic about the history of the electronic medical record
Q04550,do you want to see a timeline
Q04551,are you interested in ehr (electronic health records) systems
Q04552,were you wanting to see infographics pertaining to the history of the electronic medical record
Q04553,would you like to see images of an electronic medical record
Q04554,would you also like to see paper medical records
Q04555,are you interested in the mental benefits of running
Q04556,are you looking for the physical health benefits of running
Q04557,are you interested in the benefits of running outside
Q04558,would you like to know about the mental health benefits
Q04559,are you interested in the benefits of running in the morning
Q04560,do you want to know about the benefits of running fast
Q04561,are you interested in the scenery like on roosevelt island
Q04562,are you interested in tourist locations on roosevelt island
Q04563,are you looking for places to stay on roosevelt island
Q04564,would you like to see a map
Q04565,would you like to see the surroundings
Q04566,would you like to know what else is nearby
Q04567,are you wanting infographics related to male menopause
Q04568,would you be interested in treatment options for male menopause
Q04569,would you like to know the difference between male and female menopause
Q04570,would you like to know if male menopause is real
Q04571,do you want to know what is male menopause
Q04572,are you interest in the signs of male menopause
Q04573,are you interested in the t.v. series
Q04574,would you like information about the voyager minivan made by chrysler
Q04575,"would you like to know about the space probe named voyager, the crypocurrency company, the book by gaboldon or some other voyager"
Q04576,would you like to browse a list of characters from the show star trek: voyager
Q04577,did you want to know which planets were reached by nasa's voyager mission
Q04578,are you interested in vehicles named voyager
Q04579,are you interested in seeing the locations poker tournaments at
Q04580,are you interested in seeing the hands that can be played in a poker tournament
Q04581,are you interested in seeing people who have won poker tournaments
Q04582,would you like to see photos of poker tournaments
Q04583,wouuld you like to see the payout structure
Q04584,would you like to see poker strategies
Q04585,would you like to see what a ford edge looks like
Q04586,would you like to see engine problems
Q04587,would you like to see damaged ford edges
Q04588,are you looking for ford edge problems that deal with the interior of the car
Q04589,are you interested in finding out what common problems other people have with ford edge
Q04590,are you looking for common problems on a ford edge produced in a specific year
Q04591,would you like to see a map of churchill downs racetrack
Q04592,would you like to see churchill downs surroundings
Q04593,would you like to see restaurants near churchill downs
Q04594,would you like to see pictures of the churchill downs racetrack
Q04595,"would you like to see images for louisville, kenttucky"
Q04596,would you like information about placing a bet at a horse track
Q04597,would you like to see where you can learn how to interpret dreams online
Q04598,were any of these common symbols in your dream
Q04599,do you want to buy a dream interpretation book
Q04600,do you want to see books about dreams
Q04601,do you want to see a dream chart
Q04602,do you want to see dream catchers
Q04603,are you wanting to view a map of the world
Q04604,would you like to see a map of the united states
Q04605,would you like more information regarding the components of a map
Q04606,would you like to order some paper maps
Q04607,would you like to see some options for map apps for your smartphone
Q04608,would you like to download a map of a tourist attraction
Q04609,are you searching for a particluar headline with the rocky mountain news
Q04610,do you want to see pictures of the rocky mountain news staff
Q04611,are you interested in other colorado newspapers
